customer_id,first_name,last_name,date_of_birth,gender,region,account_open_date
1,Gabrielle,Green,1987-10-17,Female,Nakuru,2021-03-14
2,Joseph,Maxwell,1986-11-21,Male,Eldoret,2021-12-19
3,Patricia,Smith,1981-11-09,Female,Nyeri,2019-03-10
4,Jessica,Wong,1988-03-16,Female,Eldoret,2023-11-22
5,Christopher,Cooper,1983-01-09,Male,Mombasa,2020-10-20
6,Stephanie,Ellis,1964-04-18,Female,Kisumu,2021-06-26
7,Brittany,Johnson,1992-07-21,Female,Eldoret,2022-07-29
8,Kurt,Scott,1980-12-02,Male,Eldoret,2019-03-16
9,Matthew,Miller,1971-06-06,Male,Mombasa,2023-05-24
10,James,Bennett,1991-09-14,Male,Eldoret,2023-01-02
11,Robert,Ayala,1970-08-12,Male,Nyeri,2020-11-10
12,Brittany,Acevedo,1967-02-02,Female,Mombasa,2023-02-02
13,Jeremy,Newman,1971-03-14,Male,Mombasa,2023-11-22
14,Tara,Mcmillan,1977-08-22,Female,Nyeri,2022-07-18
15,Jamie,Sanford,1984-01-17,Female,Kisumu,2021-06-30
16,Michael,Morris,2000-04-14,Male,Eldoret,2018-06-02
17,Nicholas,Hutchinson,1974-09-11,Male,Eldoret,2022-02-27
18,Miranda,Nelson,1976-09-29,Female,Mombasa,2023-12-16
19,Manuel,Smith,1983-01-07,Male,Mombasa,2019-03-07
20,Joseph,Page,1973-12-09,Male,Mombasa,2018-04-09
21,Cynthia,Moore,1980-01-02,Female,Nyeri,2020-05-16
22,Marissa,Flowers,2004-09-08,Female,Mombasa,2019-12-25
23,Patricia,Roberson,1980-01-18,Female,Nakuru,2023-01-08
24,Timothy,Ewing,1964-06-08,Male,Nairobi,2023-09-13
25,Matthew,Watson,1996-10-21,Male,Eldoret,2019-05-14
26,Timothy,Sherman,2004-02-23,Male,Eldoret,2021-12-25
27,Michael,Patterson,2003-07-21,Male,Nyeri,2019-12-17
28,Mary,Coleman,1994-11-21,Female,Nakuru,2023-01-02
29,Marcus,Johnson,1966-09-14,Male,Nyeri,2021-12-01
30,Marilyn,Kennedy,1991-04-08,Female,Kisumu,2021-11-12
31,Caroline,Tucker,1997-03-17,Female,Nyeri,2023-03-10
32,Laura,Martinez,1985-07-27,Female,Nakuru,2021-05-25
33,Kimberly,Watson,1970-01-29,Female,Eldoret,2021-09-12
34,Angel,Jackson,2006-10-27,Female,Kisumu,2022-10-04
35,Jordan,Salas,1977-02-19,Female,Nakuru,2021-04-26
36,Lee,Acevedo,1991-02-01,Male,Nairobi,2020-05-05
37,Jennifer,Malone,1973-06-12,Female,Mombasa,2023-04-25
38,Megan,Gilbert,1981-10-17,Female,Nairobi,2018-05-31
39,Larry,Walters,1973-04-05,Male,Kisumu,2018-05-28
40,Veronica,Adkins,1985-07-31,Female,Nakuru,2022-09-03
41,Susan,Wilkinson,1962-03-27,Female,Eldoret,2023-09-20
42,David,Guzman,1961-04-25,Male,Mombasa,2020-07-17
43,Tom,Campbell,1981-10-05,Male,Nyeri,2018-05-22
44,Xavier,Raymond,1970-06-15,Male,Mombasa,2020-05-24
45,Alexander,Mills,1978-12-24,Male,Eldoret,2018-02-17
46,Julie,Hardy,1996-06-17,Female,Nakuru,2023-02-19
47,Christopher,Davis,2003-11-01,Male,Eldoret,2018-03-20
48,Taylor,Hernandez,1971-04-13,Female,Mombasa,2020-07-22
49,Leon,Robinson,1975-05-18,Male,Mombasa,2021-03-09
50,William,Tran,1997-01-29,Male,Mombasa,2018-06-08
51,Morgan,Beasley,1970-07-22,Female,Nyeri,2022-03-23
52,Seth,Freeman,1968-06-22,Male,Mombasa,2020-04-17
53,Edward,Walters,2003-02-23,Male,Eldoret,2019-05-26
54,Jennifer,Hawkins,2003-05-14,Female,Kisumu,2023-02-23
55,Christina,Smith,1998-08-20,Female,Eldoret,2018-03-08
56,James,Sanford,1962-03-25,Male,Nairobi,2022-01-05
57,Taylor,Craig,1989-03-01,Female,Mombasa,2023-02-04
58,Lisa,White,1966-08-25,Female,Nairobi,2018-07-14
59,John,Carroll,1996-08-27,Male,Eldoret,2018-05-28
60,Alan,Martin,1987-05-07,Male,Nyeri,2020-10-18
61,Jessica,Obrien,1986-04-12,Female,Mombasa,2018-11-29
62,Matthew,Harvey,1961-10-11,Male,Eldoret,2022-02-07
63,Mark,Mckinney,1977-03-06,Male,Eldoret,2018-02-25
64,Matthew,Hopkins,2001-04-20,Male,Nakuru,2020-10-29
65,Mark,Dudley,1991-09-19,Male,Nyeri,2021-01-20
66,Sarah,Owens,2007-05-17,Female,Eldoret,2019-02-23
67,Taylor,Hodges,2007-07-05,Female,Eldoret,2018-05-22
68,Gary,Robinson,1995-06-26,Male,Eldoret,2022-02-25
69,Stacey,Patel,1997-02-12,Female,Nairobi,2023-01-07
70,Matthew,Young,1975-01-19,Male,Mombasa,2021-06-22
71,Shane,Harris,1974-06-10,Male,Mombasa,2020-11-29
72,Alec,Stewart,1988-07-12,Male,Nairobi,2018-08-21
73,Alicia,Martin,1999-06-13,Female,Kisumu,2022-08-13
74,Michael,Bennett,1974-08-17,Male,Eldoret,2018-09-15
75,Roger,Spears,1995-01-28,Male,Kisumu,2022-07-20
76,Erica,Frazier,1964-07-08,Female,Nakuru,2021-04-01
77,Stephanie,Ware,2005-10-31,Female,Mombasa,2019-08-24
78,Joshua,Wilson,1993-11-30,Male,Eldoret,2021-04-17
79,Vincent,Byrd,1978-02-01,Male,Kisumu,2022-11-20
80,Richard,Richards,1982-01-13,Male,Nyeri,2020-08-04
81,Michael,King,1996-03-07,Male,Mombasa,2022-06-03
82,Justin,Martin,1979-09-23,Male,Nairobi,2023-06-27
83,Daniel,Hernandez,1982-03-11,Male,Nyeri,2019-02-20
84,Daniel,Gonzales,1972-05-20,Male,Kisumu,2022-04-11
85,Suzanne,Ortega,1976-07-31,Female,Nakuru,2019-05-28
86,Michael,Rodriguez,1990-04-08,Male,Nakuru,2022-12-28
87,Aaron,Ferguson,2001-08-08,Male,Kisumu,2022-05-17
88,Ashley,Fox,1964-08-24,Female,Nairobi,2019-12-30
89,Amber,Deleon,2003-02-06,Female,Nairobi,2018-05-07
90,Sergio,Houston,2003-04-21,Male,Kisumu,2022-05-09
91,Julie,Welch,1973-02-12,Female,Nyeri,2019-02-05
92,Alice,White,1979-09-18,Female,Nyeri,2020-07-13
93,Christian,Lopez,1988-11-28,Male,Nairobi,2022-11-27
94,Linda,Jordan,1968-09-27,Female,Nakuru,2021-03-18
95,Pamela,Newman,1966-09-09,Female,Nyeri,2021-02-26
96,Gregory,Obrien,2000-05-02,Male,Eldoret,2022-07-02
97,Robert,Miller,2000-01-07,Male,Mombasa,2019-03-30
98,Kevin,Beard,1986-02-18,Male,Nakuru,2018-03-07
99,David,Watts,1994-05-10,Male,Nyeri,2019-02-24
100,April,Ramirez,2007-10-05,Female,Kisumu,2023-12-28
101,Evelyn,Hickman,1978-08-10,Female,Nakuru,2019-01-27
102,Thomas,Quinn,2006-09-28,Male,Nyeri,2019-02-23
103,John,Meyer,1963-12-04,Male,Kisumu,2018-09-05
104,Justin,Clark,1992-03-10,Male,Nyeri,2022-09-09
105,David,Carr,1987-07-07,Male,Nyeri,2019-08-30
106,Kimberly,Mora,1995-09-03,Female,Nyeri,2020-05-30
107,Danielle,Campbell,1979-12-19,Female,Nairobi,2022-05-21
108,Ashley,Stevens,1988-04-02,Female,Nyeri,2019-12-03
109,Elizabeth,Ellison,1975-12-22,Female,Kisumu,2022-09-02
110,Donald,Johnston,1987-02-07,Male,Nairobi,2018-07-01
111,Barry,Ingram,1991-09-11,Male,Nairobi,2023-04-15
112,Crystal,Werner,1985-07-08,Female,Kisumu,2018-06-15
113,Ruth,Roberts,1967-08-31,Female,Mombasa,2022-04-03
114,Christina,Walter,1965-10-22,Female,Eldoret,2023-03-11
115,Tracy,Moss,1982-12-31,Female,Kisumu,2023-08-15
116,Kayla,Pacheco,1962-05-18,Female,Nyeri,2018-09-25
117,Eric,Brown,1980-11-05,Male,Nyeri,2022-09-09
118,Scott,Robinson,1995-10-06,Male,Eldoret,2023-03-24
119,Christopher,Garcia,1998-01-13,Male,Kisumu,2021-02-21
120,Austin,Flores,1971-10-22,Male,Mombasa,2020-08-03
121,Victoria,Sanchez,1968-03-26,Female,Mombasa,2018-02-03
122,Christopher,Johnson,1974-05-31,Male,Kisumu,2020-03-27
123,Mary,Aguilar,1982-02-14,Female,Kisumu,2021-07-08
124,Amber,Torres,1978-12-07,Female,Nakuru,2023-11-03
125,Alison,Murray,1977-05-22,Female,Mombasa,2022-12-28
126,Jeremy,Wright,2001-09-16,Male,Eldoret,2021-08-16
127,Shane,Nichols,1978-08-17,Male,Nakuru,2022-03-25
128,Christopher,Douglas,1962-08-24,Male,Nakuru,2023-12-20
129,Michael,Serrano,1999-05-02,Male,Kisumu,2023-07-14
130,Victoria,Miller,1995-12-08,Female,Mombasa,2021-03-21
131,Kevin,Camacho,1968-02-02,Male,Nakuru,2023-09-29
132,Andrea,Martin,1996-12-21,Female,Nairobi,2020-07-27
133,Terry,Gardner,1986-09-09,Male,Eldoret,2018-05-28
134,Anthony,Murphy,1969-11-02,Male,Kisumu,2019-02-03
135,John,Harrison,2005-06-23,Male,Nyeri,2023-10-03
136,Benjamin,Nelson,1981-09-27,Male,Nyeri,2018-05-04
137,Autumn,Martinez,1981-09-10,Female,Eldoret,2018-12-17
138,Jodi,Hamilton,2002-03-14,Female,Nyeri,2018-11-19
139,Eric,Rosales,1975-09-01,Male,Eldoret,2022-04-16
140,Brian,Roberts,1982-03-08,Male,Nyeri,2022-03-20
141,Calvin,Larsen,1997-02-03,Male,Nyeri,2020-10-07
142,Timothy,Greer,1992-05-28,Male,Nairobi,2021-05-12
143,Diana,Fisher,1990-09-30,Female,Eldoret,2022-04-13
144,Brian,Gilbert,1962-12-13,Male,Nairobi,2020-11-01
145,Jennifer,Jones,1992-06-07,Female,Nyeri,2021-11-02
146,William,King,1972-11-16,Male,Nakuru,2022-04-07
147,Joseph,Griffin,2005-08-16,Male,Nairobi,2020-09-04
148,Jennifer,Miller,1966-05-10,Female,Eldoret,2019-05-04
149,Bryan,Green,1987-12-14,Male,Mombasa,2021-11-05
150,Jenny,Rollins,1973-02-18,Female,Nyeri,2019-08-01
151,Brenda,Sheppard,1964-07-26,Female,Nyeri,2018-08-08
152,Catherine,Middleton,1982-06-10,Female,Kisumu,2023-02-09
153,Christine,Robinson,2003-03-23,Female,Mombasa,2019-07-17
154,Karina,Bowman,1977-11-22,Female,Nyeri,2020-06-18
155,Meghan,Fernandez,1974-10-03,Female,Mombasa,2020-12-13
156,Michelle,Nguyen,1970-11-14,Female,Kisumu,2018-04-18
157,Kristen,Fox,1997-01-24,Female,Eldoret,2022-09-27
158,Jason,Jones,2002-03-08,Male,Kisumu,2020-08-25
159,Christina,Mccoy,1973-07-17,Female,Nakuru,2018-01-10
160,Kelli,Gonzalez,1987-06-11,Female,Mombasa,2018-08-01
161,Jason,Smith,1970-06-27,Male,Kisumu,2022-04-21
162,Bobby,Patterson,1974-09-22,Male,Nyeri,2023-06-11
163,Kirk,Garcia,1986-01-03,Male,Nyeri,2019-03-11
